applied_changed_count,blocked_by_family_mismatch_count,blocked_count,count,delta_vs_no_memory,delta_vs_orchestrator,dependency_violation_rate,eligible_count,episode_count,episode_idx,influence_counts,influence_type,mean_score,memory_changed_scheduling_decisions,memory_id,missing_required_agent_rate,no_memory_score,orchestrator_score,order_violation_rate,reason,recovery_success_rate,retrieve_events,retrieved_count,section,shuffled_score,source_family,source_labeled_refs,source_mismatch_rate,source_mismatch_refs,success_rate,support_only_count,task_family,top_memory_id,top_source_family,top_trigger_family,total_retrieved_refs,trigger_family,trigger_match_score_max,trigger_match_score_mean,trigger_match_score_min,trigger_match_score_p25,trigger_match_score_p50,trigger_match_score_p75,trigger_mismatch_rate,trigger_mismatch_refs,unnecessary_agent_calls,variant,verdict
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,troubleshooting,,,,,,code_review,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,104,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,content_creation,,,,,,content_creation,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,research_report,,,,,,content_creation,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,90,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,data_analysis,,,,,,data_analysis,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,28,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,research_report,,,,,,data_analysis,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,18,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,code_review,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,24,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,content_creation,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,28,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,data_analysis,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,212,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,debugging,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,20,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,research_report,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
,,,14,,,,,,,,,,,,,,,,,,,,confusion_matrix_source,,troubleshooting,,,,,,debugging,,,,,,,,,,,,,,,mas_orchestrator_memory,
